Symbol
BTC-USD
ETH-USD
USDT-USD
USDC-USD
BNB-USD
XRP-USD
ADA-USD
SOL-USD
BUSD-USD
DOGE-USD
DOT-USD
AVAX-USD
WBTC-USD
TRX-USD
SHIB-USD
DAI-USD
MATIC-USD
CRO-USD
LTC-USD
LEO-USD
NEAR-USD
FTT-USD
BCH-USD
UNI-USD
LINK-USD
XLM-USD
ALGO-USD
ATOM-USD
XMR-USD
FLOW-USD
ETC-USD
APE-USD
MANA-USD
EGLD-USD
HBAR-USD
VET-USD
ICP-USD
FIL-USD
SAND-USD
XTZ-USD
MKR-USD
ZEC-USD
KCS-USD
CAKE-USD
THETA-USD
EOS-USD
AXS-USD
UST-USD
GRT-USD
AAVE-USD
TUSD-USD
KLAY-USD
RUNE-USD
HT-USD
HNT-USD
MIOTA-USD
BTT-USD
BSV-USD
GMT-USD
USDP-USD
FTM-USD
XEC-USD
QNT-USD
USDN-USD
NEXO-USD
NEO-USD
OKB-USD
STX-USD
WAVES-USD
CHZ-USD
CVX-USD
KSM-USD
ZIL-USD
CRV-USD
LRC-USD
ENJ-USD
DASH-USD
CELO-USD
GALA-USD
BAT-USD
PAXG-USD
ONE-USD
AMP-USD
GNO-USD
KDA-USD
XDC-USD
MINA-USD
XEM-USD
DCR-USD
AR-USD
KAVA-USD
COMP-USD
LDO-USD
HOT-USD
QTUM-USD
GT-USD
FEI-USD
BNT-USD
1INCH-USD
XYM-USD
TFUEL-USD
YFI-USD
GLMR-USD
LPT-USD
OMG-USD
ICX-USD
ZRX-USD
KNC-USD
BTG-USD
BORA-USD
IOST-USD
AUDIO-USD
SRM-USD
RVN-USD
SNX-USD
SCRT-USD
ANKR-USD
CHSB-USD
JST-USD
SKL-USD
USDD-USD
IOTX-USD
ELON-USD
ROSE-USD
SC-USD
ZEN-USD
GLM-USD
WAXP-USD
RNDR-USD
BTRST-USD
ONT-USD
SXP-USD
VGX-USD
UMA-USD
HIVE-USD
ENS-USD
STORJ-USD
WOO-USD
MXC-USD
IMX-USD
NFT-USD
PLA-USD
TWT-USD
RLY-USD
ILV-USD
POLY-USD
CEL-USD
CSPR-USD
ACA-USD
DGB-USD
GUSD-USD
VLX-USD
RENBTC-USD
SUSHI-USD
KEEP-USD
FLUX-USD
CKB-USD
LSK-USD
TEL-USD
XPRT-USD
MX-USD
CFX-USD
REN-USD
CEEK-USD
MED-USD
XCH-USD
XNO-USD
DAG-USD
FET-USD
OCEAN-USD
DAO-USD
RAY-USD
WIN-USD
FXS-USD
XYO-USD
ORBS-USD
PUNDIX-USD
SYS-USD
XDB-USD
DYDX-USD
CHR-USD
SPELL-USD
ONG-USD
INJ-USD
NU-USD
PYR-USD
COTI-USD
CELR-USD
TRIBE-USD
POWR-USD
SNT-USD
REQ-USD
CVC-USD
JOE-USD
UOS-USD
TRAC-USD
CTSI-USD
ARDR-USD
STEEM-USD
EPS-USD
HEX-USD
WTRX-USD
stETH-USD
YOUC-USD
BTCB-USD
TON-USD
XCN-USD
WBNB-USD
DFI-USD
FRAX-USD
LUNA-USD
HBTC-USD
BTTOLD-USD
LUSD-USD
SAFE-USD
BIT-USD
OSMO-USD
NXM-USD
XAUT-USD
SAPP-USD
T-USD
HUSD-USD
TTT-USD
CCXX-USD
LN-USD
LOOKS-USD
EVER-USD
FRTS-USD
BNX-USD
WEMIX-USD
ASTR-USD
GAL-USD
KOK-USD
BEST-USD
XWC-USD
RPL-USD
WVLX-USD
RACA-USD
VVS-USD
ARRR-USD
HUM-USD
TITAN-USD
ANY-USD
MVL-USD
MOB-USD
CBG-USD
XSGD-USD
BSW-USD
EURS-USD
LQTY-USD
AURORA-USD
DESO-USD
SURE-USD
AVINOC-USD
LOCUS-USD
DIVI-USD
USDX-USD
WXT-USD
DAR-USD
1ECO-USD
DENT-USD
MPL-USD
FX-USD
