Date,AAPL,MSFT,GOOG,GOOGL,AMZN,TSLA,FB,JNJ,UNH,NVDA
2022-04-20,167.22999572753906,286.3599853515625,2564.909912109375,2560.800048828125,3079.9599609375,977.2000122070312,200.4199981689453,183.88999938964844,546.010009765625,214.82000732421875
2022-04-21,166.4199981689453,280.80999755859375,2498.75,2496.2900390625,2965.919921875,1008.780029296875,188.07000732421875,183.36000061035156,537.4400024414062,201.8300018310547
2022-04-22,161.7899932861328,274.0299987792969,2392.280029296875,2392.7099609375,2887.0,1005.0499877929688,184.11000061035156,181.5399932861328,520.9400024414062,195.14999389648438
2022-04-23,161.7899932861328,274.0299987792969,2392.280029296875,2392.7099609375,2887.0,1005.0499877929688,184.11000061035156,181.5399932861328,520.9400024414062,195.14999389648438
2022-04-24,161.7899932861328,274.0299987792969,2392.280029296875,2392.7099609375,2887.0,1005.0499877929688,184.11000061035156,181.5399932861328,520.9400024414062,195.14999389648438
2022-04-25,162.8800048828125,280.7200012207031,2465.0,2461.47998046875,2921.47998046875,998.02001953125,186.99000549316406,186.00999450683594,524.27001953125,199.02000427246094
2022-04-26,156.8000030517578,270.2200012207031,2390.1201171875,2373.0,2787.820068359375,876.4199829101562,180.9499969482422,184.67999267578125,513.780029296875,187.8800048828125
2022-04-27,156.57000732421875,283.2200012207031,2300.409912109375,2285.889892578125,2763.340087890625,881.510009765625,174.9499969482422,182.10000610351562,513.8099975585938,184.14999389648438
2022-04-28,163.63999938964844,289.6300048828125,2388.22998046875,2370.449951171875,2891.929931640625,877.510009765625,205.72999572753906,183.4600067138672,524.4199829101562,197.82000732421875
2022-04-29,157.64999389648438,277.5199890136719,2299.330078125,2282.18994140625,2485.6298828125,870.760009765625,200.47000122070312,180.4600067138672,508.54998779296875,185.47000122070312
2022-04-30,157.64999389648438,277.5199890136719,2299.330078125,2282.18994140625,2485.6298828125,870.760009765625,200.47000122070312,180.4600067138672,508.54998779296875,185.47000122070312
2022-05-01,157.64999389648438,277.5199890136719,2299.330078125,2282.18994140625,2485.6298828125,870.760009765625,200.47000122070312,180.4600067138672,508.54998779296875,185.47000122070312
2022-05-02,157.9600067138672,284.4700012207031,2343.139892578125,2331.659912109375,2490.0,902.9400024414062,211.1300048828125,178.63999938964844,501.1499938964844,195.3300018310547
2022-05-03,159.47999572753906,281.7799987792969,2362.590087890625,2346.679931640625,2485.070068359375,909.25,212.02999877929688,178.2899932861328,499.6199951171875,196.02000427246094
2022-05-04,166.02000427246094,289.9800109863281,2451.5,2445.219970703125,2518.570068359375,952.6199951171875,223.41000366210938,180.1999969482422,507.6199951171875,203.33999633789062
2022-05-05,156.77000427246094,277.3500061035156,2334.929931640625,2330.110107421875,2328.139892578125,873.280029296875,208.27999877929688,176.75999450683594,494.7200012207031,188.44000244140625
2022-05-06,157.27999877929688,274.7300109863281,2313.199951171875,2314.929931640625,2295.449951171875,865.6500244140625,203.77000427246094,176.3699951171875,499.6199951171875,186.75
2022-05-07,157.27999877929688,274.7300109863281,2313.199951171875,2314.929931640625,2295.449951171875,865.6500244140625,203.77000427246094,176.3699951171875,499.6199951171875,186.75
2022-05-08,157.27999877929688,274.7300109863281,2313.199951171875,2314.929931640625,2295.449951171875,865.6500244140625,203.77000427246094,176.3699951171875,499.6199951171875,186.75
2022-05-09,152.05999755859375,264.5799865722656,2261.679931640625,2250.219970703125,2175.780029296875,787.1099853515625,196.2100067138672,177.3300018310547,486.4200134277344,169.5
2022-05-10,154.50999450683594,269.5,2291.68994140625,2287.89990234375,2177.179931640625,800.0399780273438,197.64999389648438,177.08999633789062,488.010009765625,175.9499969482422
2022-05-11,146.5,260.54998779296875,2279.219970703125,2272.050048828125,2107.43994140625,734.0,188.74000549316406,176.1300048828125,486.1499938964844,166.3000030517578
2022-05-12,142.55999755859375,255.35000610351562,2263.219970703125,2256.8798828125,2138.610107421875,728.0,191.24000549316406,177.8699951171875,478.79998779296875,161.75
2022-05-13,147.11000061035156,261.1199951171875,2330.31005859375,2321.010009765625,2261.10009765625,769.5900268554688,198.6199951171875,176.85000610351562,485.3999938964844,177.05999755859375
2022-05-14,147.11000061035156,261.1199951171875,2330.31005859375,2321.010009765625,2261.10009765625,769.5900268554688,198.6199951171875,176.85000610351562,485.3999938964844,177.05999755859375
2022-05-15,147.11000061035156,261.1199951171875,2330.31005859375,2321.010009765625,2261.10009765625,769.5900268554688,198.6199951171875,176.85000610351562,485.3999938964844,177.05999755859375
2022-05-16,145.5399932861328,261.5,2295.85009765625,2288.89990234375,2216.2099609375,724.3699951171875,200.0399932861328,178.0800018310547,489.2200012207031,172.63999938964844
2022-05-17,149.24000549316406,266.82000732421875,2334.030029296875,2329.4599609375,2307.3701171875,761.6099853515625,202.6199951171875,178.82000732421875,492.5299987792969,181.77000427246094
2022-05-18,140.82000732421875,254.0800018310547,2248.02001953125,2237.989990234375,2142.25,709.8099975585938,192.24000549316406,175.5,471.3800048828125,169.3800048828125
2022-05-19,137.35000610351562,253.13999938964844,2214.909912109375,2207.679931640625,2146.3798828125,709.4199829101562,191.2899932861328,173.94000244140625,478.54998779296875,171.24000549316406
2022-05-20,137.58999633789062,252.55999755859375,2186.260009765625,2178.159912109375,2151.820068359375,663.9000244140625,193.5399932861328,176.97999572753906,485.7300109863281,166.94000244140625
